COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG ADAI;6e;9;9;18;9;9;18;14.92;16.96;10.02;9.55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1;5.6;55.6;33.3;44.4;33.3;44.4;38.9;11.1;0.0;5.6;0.0;11.1;5.6;;;;
CPEG ADAI;5e;16;8;24;16;8;24;17.13;14.93;9.72;9.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;25.0;16.7;50.0;25.0;41.7;18.8;25.0;20.8;12.5;25.0;16.7;6.3;0.0;4.2;;;;
CPEG ADAI;4e;10;9;19;9;9;18;16.13;13.37;10.19;8.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1;5.6;0.0;33.3;16.7;55.6;33.3;44.4;22.2;22.2;22.2;11.1;0.0;5.6;11.1;0.0;5.6;;;;
CPEG ADAI;3e;20;12;32;20;12;32;14.06;14.41;6.96;6.65;0.0;0.0;0.0;15.0;8.3;12.5;20.0;16.7;18.8;20.0;25.0;21.9;25.0;33.3;28.1;15.0;8.3;12.5;5.0;8.3;6.3;0.0;0.0;0.0;;;;
CPEG ADAI;Cycle 1;55;38;93;54;38;92;17.13;16.96;6.96;6.65;0.0;0.0;0.0;5.6;2.6;4.3;7.4;7.9;7.6;11.1;23.7;16.3;42.6;31.6;38.0;20.4;23.7;21.7;9.3;7.9;8.7;3.7;2.6;3.3;;;;
CPEG ALBARKA;6e;8;9;17;8;9;17;15.91;16.75;9.37;10.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;11.8;37.5;33.3;35.3;12.5;11.1;11.8;25.0;33.3;29.4;0.0;22.2;11.8;;;;
CPEG ALBARKA;5e;15;15;30;15;15;30;14.66;15.85;8.7;9.11;0.0;0.0;0.0;0.0;0.0;0.0;6.7;0.0;3.3;6.7;13.3;10.0;53.3;40.0;46.7;20.0;13.3;16.7;13.3;33.3;23.3;0.0;0.0;0.0;;;;
CPEG ALBARKA;4e;12;16;28;12;16;28;14.47;16.69;7.78;7.83;0.0;0.0;0.0;0.0;0.0;0.0;8.3;18.8;14.3;0.0;6.3;3.6;33.3;37.5;35.7;50.0;25.0;35.7;8.3;6.3;7.1;0.0;6.3;3.6;;;;
CPEG ALBARKA;3e;9;10;19;9;10;19;14.53;11.46;8.71;8.95;0.0;0.0;0.0;0.0;0.0;0.0;11.1;10.0;10.5;22.2;10.0;15.8;22.2;80.0;52.6;22.2;0.0;10.5;22.2;0.0;10.5;0.0;0.0;0.0;;;;
CPEG ALBARKA;Cycle 1;44;50;94;44;50;94;15.91;16.75;7.78;7.83;0.0;0.0;0.0;0.0;0.0;0.0;6.8;8.0;7.4;11.4;8.0;9.6;38.6;46.0;42.6;27.3;14.0;20.2;15.9;18.0;17.0;0.0;6.0;3.2;;;;
