,college,classe,effectif_m,effectif_f,effectif_t,ont_compose_m,ont_compose_f,ont_compose_t,pas_compose_m,pas_compose_f,pas_compose_t,moy_max_m,moy_max_f,moy_min_m,moy_min_f,inf_6.5_m,inf_6.5_f,inf_6.5_t,6.5_7.5_m,6.5_7.5_f,6.5_7.5_t,7.5_9_m,7.5_9_f,7.5_9_t,9_10_m,9_10_f,9_10_t,10_11_m,10_11_f,10_11_t,11_12_m,11_12_f,11_12_t,12_14_m,12_14_f,12_14_t,14_16_m,14_16_f,14_16_t,sup_16_m,sup_16_f,sup_16_t
0,CPEG ADAI,6e,9,9,18,9,9,18,0,0,0,14.92,16.96,10.02,9.55,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,2,5,3,4,7,1,0,1,0,1,1
1,CPEG ADAI,5e,16,8,24,16,8,24,0,0,0,17.13,14.93,9.72,9.54,0,0,0,0,0,0,0,0,0,2,2,4,5,2,7,3,0,3,3,2,5,2,2,4,1,0,1
2,CPEG ADAI,4e,10,9,19,9,9,18,1,0,1,16.13,13.37,10.19,8.98,0,0,0,0,0,0,0,1,1,0,3,3,2,2,4,3,1,4,2,2,4,1,0,1,1,0,1
3,CPEG ADAI,3e,20,12,32,20,12,32,0,0,0,14.06,14.41,6.96,6.65,0,0,0,3,1,4,4,2,6,4,3,7,5,1,6,0,3,3,3,1,4,1,1,2,0,0,0
4,CPEG ADAI,TOTAL CYCLE 1,55,38,93,54,38,92,1,0,1,17.13,16.96,6.96,6.65,0,0,0,3,1,4,4,3,7,6,9,15,14,6,20,9,6,15,11,9,20,5,3,8,2,1,3
5,CPEG AMITIE,6e,27,11,38,27,11,38,0,0,0,18.78,15.56,9.95,10.0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,5,4,2,6,10,2,12,6,4,10,4,0,4
6,CPEG AMITIE,5e,56,11,67,56,11,67,0,0,0,18.19,18.37,8.97,9.43,0,0,0,0,0,0,1,0,1,7,3,10,11,2,13,12,1,13,13,3,16,7,1,8,5,1,6
7,CPEG AMITIE,4e,38,20,58,36,19,55,2,1,3,18.71,15.59,7.8,8.49,0,0,0,0,0,0,2,3,5,6,4,10,5,1,6,10,4,14,8,3,11,3,4,7,2,0,2
8,CPEG AMITIE,3e,44,12,56,43,12,55,1,0,1,17.69,12.89,7.88,7.81,0,0,0,0,0,0,6,2,8,5,4,9,5,1,6,16,2,18,5,3,8,3,0,3,3,0,3
9,CPEG AMITIE,TOTAL CYCLE 1,165,54,219,162,53,215,3,1,4,18.78,18.37,7.8,7.81,0,0,0,0,0,0,9,5,14,19,11,30,23,7,30,42,9,51,36,11,47,19,9,28,14,1,15
10,CPEG CLE DOR,6e,20,10,30,20,10,30,0,0,0,17.78,17.07,5.97,8.93,1,0,1,0,0,0,3,1,4,2,1,3,2,0,2,1,2,3,6,1,7,3,4,7,2,1,3
